"año","dia","numero"
"1994","1","22"
"1994","2","9"
"1994","3","21"
"1994","4","12"
"1994","5","15"
"1994","6","14"
"1994","7","16"
"1995","1","16"
"1995","2","12"
"1995","3","20"
"1995","4","12"
"1995","5","15"
"1995","6","19"
"1995","7","32"
"1996","1","13"
"1996","2","26"
"1996","3","12"
"1996","4","13"
"1996","5","12"
"1996","6","19"
"1996","7","18"
"1997","1","18"
"1997","2","13"
"1997","3","7"
"1997","4","11"
"1997","5","20"
"1997","6","20"
"1997","7","16"
"1998","1","16"
"1998","2","21"
"1998","3","8"
"1998","4","16"
"1998","5","17"
"1998","6","16"
"1998","7","15"
"1999","1","15"
"1999","2","11"
"1999","3","12"
"1999","4","15"
"1999","5","14"
"1999","6","17"
"1999","7","32"
"2000","1","15"
"2000","2","10"
"2000","3","18"
"2000","4","7"
"2000","5","7"
"2000","6","9"
"2000","7","17"
"2001","1","9"
"2001","2","10"
"2001","3","12"
"2001","4","15"
"2001","5","9"
"2001","6","16"
"2001","7","23"
"2002","1","21"
"2002","2","25"
"2002","3","9"
"2002","4","17"
"2002","5","19"
"2002","6","22"
"2002","7","22"
"2003","1","17"
"2003","2","12"
"2003","3","16"
"2003","4","16"
"2003","5","20"
"2003","6","16"
"2003","7","17"
"2004","1","24"
"2004","2","12"
"2004","3","16"
"2004","4","12"
"2004","5","20"
"2004","6","25"
"2004","7","19"
"2005","1","24"
"2005","2","11"
"2005","3","14"
"2005","4","16"
"2005","5","12"
"2005","6","8"
"2005","7","8"
"2006","1","16"
"2006","2","24"
"2006","3","10"
"2006","4","14"
"2006","5","12"
"2006","6","15"
"2006","7","15"
"2007","1","13"
"2007","2","12"
"2007","3","11"
"2007","4","9"
"2007","5","20"
"2007","6","9"
"2007","7","19"
"2008","1","21"
"2008","2","23"
"2008","3","16"
"2008","4","18"
"2008","5","8"
"2008","6","17"
"2008","7","12"
"2009","1","18"
"2009","2","13"
"2009","3","8"
"2009","4","7"
"2009","5","8"
"2009","6","15"
"2009","7","16"
"2010","1","20"
"2010","2","18"
"2010","3","6"
"2010","4","18"
"2010","5","13"
"2010","6","13"
"2010","7","15"
"2011","1","14"
"2011","2","12"
"2011","3","9"
"2011","4","18"
"2011","5","10"
"2011","6","15"
"2011","7","15"
"2012","1","15"
"2012","2","11"
"2012","3","8"
"2012","4","8"
"2012","5","13"
"2012","6","20"
"2012","7","12"
"2013","1","10"
"2013","2","7"
"2013","3","11"
"2013","4","9"
"2013","5","11"
"2013","6","12"
"2013","7","15"
"2014","1","17"
"2014","2","15"
"2014","3","17"
"2014","4","16"
"2014","5","9"
"2014","6","15"
"2014","7","21"
"2015","1","11"
"2015","2","12"
"2015","3","12"
"2015","4","13"
"2015","5","15"
"2015","6","7"
"2015","7","21"
"2016","1","19"
"2016","2","14"
"2016","3","6"
"2016","4","13"
"2016","5","13"
"2016","6","12"
"2016","7","12"
"2017","1","13"
"2017","2","18"
"2017","3","21"
"2017","4","17"
"2017","5","10"
"2017","6","21"
"2017","7","23"
